title,spoken_languages,production_companies,production_countries,genres,keywords,original_language,popularity
Avatar,English,Twentieth Century Fox Film Corporation,United States of America,Action,3d,en,150.437577
Pirates of the Caribbean: At World's End,English,Walt Disney Pictures,United States of America,Action,aftercreditsstinger,en,139.082615
Spectre,English,Columbia Pictures,United States of America,Action,based on novel,en,107.37678799999999
The Dark Knight Rises,English,Warner Bros.,United States of America,Drama,superhero,en,112.31295
John Carter,English,Walt Disney Pictures,United States of America,Action,based on novel,en,43.926995
Spider-Man 3,English,Columbia Pictures,United States of America,Action,revenge,en,115.69981399999999
Tangled,English,Walt Disney Pictures,United States of America,Family,duringcreditsstinger,en,48.681969
Avengers: Age of Ultron,English,Revolution Sun Studios,United States of America,Action,duringcreditsstinger,en,134.27922900000002
Harry Potter and the Half-Blood Prince,English,Warner Bros.,United States of America,Adventure,magic,en,98.885637
Batman v Superman: Dawn of Justice,English,Warner Bros.,United States of America,Action,revenge,en,155.790452
Superman Returns,English,Warner Bros.,United States of America,Action,sequel,en,57.925623
Quantum of Solace,English,Eon Productions,United States of America,Thriller,undercover,en,107.92881100000001
Pirates of the Caribbean: Dead Man's Chest,English,Walt Disney Pictures,United States of America,Action,aftercreditsstinger,en,145.84737900000002
The Lone Ranger,English,Walt Disney Pictures,United States of America,Action,escape,en,49.046956
Man of Steel,English,Warner Bros.,United States of America,Action,superhero,en,99.398009
The Chronicles of Narnia: Prince Caspian,English,Walden Media,United States of America,Adventure,based on novel,en,53.978602
The Avengers,English,Paramount Pictures,United States of America,Action,duringcreditsstinger,en,144.448633
Pirates of the Caribbean: On Stranger Tides,English,Walt Disney Pictures,United States of America,Action,aftercreditsstinger,en,135.413856
Men in Black 3,English,Amblin Entertainment,United States of America,Comedy,alien,en,52.035179
The Hobbit: The Battle of the Five Armies,English,New Line Cinema,United States of America,Action,corruption,en,120.96574299999999
The Amazing Spider-Man,English,Columbia Pictures,United States of America,Action,duringcreditsstinger,en,89.866276
Robin Hood,English,Universal Pictures,United States of America,Action,knight,en,37.668301
The Hobbit: The Desolation of Smaug,English,New Line Cinema,United States of America,Adventure,dragon,en,94.370564
The Golden Compass,English,New Line Cinema,United States of America,Adventure,based on young adult novel,en,42.990906
King Kong,English,Universal Pictures,United States of America,Drama,monster,en,61.226009999999995
Titanic,English,Paramount Pictures,United States of America,Drama,3d,en,100.025899
Captain America: Civil War,English,Studio Babelsberg,United States of America,Action,duringcreditsstinger,en,198.37239499999998
Battleship,English,Universal Pictures,United States of America,Thriller,aftercreditsstinger,en,64.928382
Jurassic World,English,Amblin Entertainment,United States of America,Thriller,3d,en,418.708552
Skyfall,English,Columbia Pictures,United States of America,Thriller,spy,en,93.004993
Spider-Man 2,English,Columbia Pictures,United States of America,Action,sequel,en,35.149586
Iron Man 3,English,Marvel Studios,United States of America,Action,aftercreditsstinger,en,77.68208
Alice in Wonderland,English,Walt Disney Pictures,United States of America,Adventure,based on novel,en,78.530105
X-Men: The Last Stand,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,aftercreditsstinger,en,3.857526
Monsters University,English,Walt Disney Pictures,United States of America,Family,aftercreditsstinger,en,89.186492
Transformers: Revenge of the Fallen,English,Paramount Pictures,United States of America,Action,duringcreditsstinger,en,21.939663
Transformers: Age of Extinction,English,Paramount Pictures,United States of America,Action,sequel,en,116.840296
Oz: The Great and Powerful,English,Walt Disney Pictures,United States of America,Adventure,3d,en,46.985445
The Amazing Spider-Man 2,English,Columbia Pictures,United States of America,Action,sequel,en,89.270217
TRON: Legacy,English,Walt Disney Pictures,United States of America,Action,dystopia,en,73.79505
Cars 2,English,Walt Disney Pictures,United States of America,Comedy,duringcreditsstinger,en,49.98659
Green Lantern,English,Warner Bros.,United States of America,Thriller,3d,en,51.872839
Toy Story 3,English,Walt Disney Pictures,United States of America,Comedy,duringcreditsstinger,en,59.99541800000001
Terminator Salvation,English,Warner Bros.,United States of America,Thriller,dystopia,en,71.862892
Furious 7,English,Universal Pictures,United States of America,Action,revenge,en,102.32221700000001
World War Z,English,Paramount Pictures,United States of America,Drama,dystopia,en,81.834855
X-Men: Days of Future Past,English,Twentieth Century Fox Film Corporation,United States of America,Action,aftercreditsstinger,en,118.07869099999999
Star Trek Into Darkness,English,Paramount Pictures,United States of America,Action,friendship,en,78.29101800000001
Jack the Giant Slayer,English,Warner Bros.,United States of America,Action,giant,en,43.349855
The Great Gatsby,English,Warner Bros.,United States of America,Drama,based on novel,en,61.196070999999996
Prince of Persia: The Sands of Time,English,Walt Disney Pictures,United States of America,Action,based on video game,en,62.169881000000004
Pacific Rim,English,Warner Bros.,United States of America,Action,duringcreditsstinger,en,56.523205000000004
Transformers: Dark of the Moon,English,Paramount Pictures,United States of America,Action,duringcreditsstinger,en,28.529607000000002
Indiana Jones and the Kingdom of the Crystal Skull,English,Paramount Pictures,United States of America,Action,saving the world,en,75.674458
The Good Dinosaur,English,Walt Disney Pictures,United States of America,Adventure,friends,en,51.692953
Brave,English,Walt Disney Pictures,United States of America,Comedy,woman director,en,125.114374
Star Trek Beyond,English,Paramount Pictures,United States of America,Action,sequel,en,65.352913
WALL·E,English,Walt Disney Pictures,United States of America,Family,romantic comedy,en,66.390712
Rush Hour 3,English,New Line Cinema,United States of America,Comedy,ambassador,en,22.57178
2012,English,Columbia Pictures,United States of America,Action,apocalypse,en,45.274225
A Christmas Carol,English,ImageMovers,United States of America,Drama,based on novel,en,39.744242
Jupiter Ascending,English,Warner Bros.,United States of America,Action,woman director,en,85.36908000000001
The Legend of Tarzan,English,Village Roadshow Pictures,United States of America,Action,jungle,en,42.741719
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",English,Walden Media,United States of America,Adventure,duringcreditsstinger,en,67.391328
X-Men: Apocalypse,English,Twentieth Century Fox Film Corporation,United States of America,Science Fiction,aftercreditsstinger,en,139.272042
The Dark Knight,English,Warner Bros.,United States of America,Drama,superhero,en,187.322927
Up,English,Pixar Animation Studios,United States of America,Comedy,duringcreditsstinger,en,92.201962
Monsters vs Aliens,English,DreamWorks Animation,United States of America,Adventure,duringcreditsstinger,en,36.167578000000006
Iron Man,English,Marvel Studios,United States of America,Action,aftercreditsstinger,en,120.725053
Hugo,English,Paramount Pictures,United States of America,Drama,3d,en,32.319043
Wild Wild West,English,Warner Bros.,United States of America,Comedy,based on tv series,en,40.748915000000004
The Mummy: Tomb of the Dragon Emperor,English,Universal Pictures,United States of America,Action,N/A,en,60.034162
Suicide Squad,English,Warner Bros.,United States of America,Action,superhero,en,90.23791999999999
Evan Almighty,English,Universal Pictures,United States of America,Comedy,duringcreditsstinger,en,27.082182
Edge of Tomorrow,English,Warner Bros.,United States of America,Action,dystopia,en,79.456485
Waterworld,English,Universal Pictures,United States of America,Action,dystopia,en,44.640291999999995
G.I. Joe: The Rise of Cobra,English,Paramount Pictures,United States of America,Thriller,murder,en,32.852443
Inside Out,English,Walt Disney Pictures,United States of America,Drama,duringcreditsstinger,en,128.65596399999998
The Jungle Book,English,Walt Disney Pictures,United States of America,Drama,based on novel,en,94.19931600000001
Iron Man 2,English,Marvel Studios,United States of America,Action,aftercreditsstinger,en,77.30019399999999
Snow White and the Huntsman,English,Universal Pictures,United States of America,Drama,magic,en,77.178973
Maleficent,English,Walt Disney Pictures,United States of America,Action,3d,en,110.62064699999999
Dawn of the Planet of the Apes,English,TSG Entertainment,United States of America,Drama,dystopia,en,243.79174300000003
The Lovers,English,Corsan,Australia,Action,N/A,en,2.418535
47 Ronin,English,Moving Picture Company (MPC),United States of America,Drama,3d,en,41.796339
Captain America: The Winter Soldier,English,Marvel Studios,United States of America,Action,duringcreditsstinger,en,72.22526500000001
Shrek Forever After,English,DreamWorks Animation,United States of America,Comedy,3d,en,44.041185999999996
Tomorrowland,English,Walt Disney Pictures,United States of America,Adventure,imax,en,130.311355
Big Hero 6,English,Walt Disney Pictures,United States of America,Comedy,aftercreditsstinger,en,203.73459
Wreck-It Ralph,English,Walt Disney Animation Studios,United States of America,Comedy,duringcreditsstinger,en,62.341073
The Polar Express,English,Playtone,United States of America,Adventure,christmas,en,47.323228
Independence Day: Resurgence,English,Twentieth Century Fox Film Corporation,United States of America,Action,alien invasion,en,48.775723
How to Train Your Dragon,English,DreamWorks Animation,United States of America,Adventure,friendship,en,67.263269
Terminator 3: Rise of the Machines,English,Warner Bros.,United States of America,Thriller,dystopia,en,69.405188
Guardians of the Galaxy,English,Revolution Sun Studios,United States of America,Action,duringcreditsstinger,en,481.09862400000003
Interstellar,English,Warner Bros.,United States of America,Drama,dystopia,en,724.247784
Inception,English,Warner Bros.,United States of America,Thriller,kidnapping,en,167.58371
Shin Godzilla,English,Cine Bazar,Japan,Drama,monster,ja,9.476999000000001
The Hobbit: An Unexpected Journey,English,New Line Cinema,United States of America,Action,mountains,en,108.849621
The Fast and the Furious,English,Universal Pictures,United States of America,Thriller,duringcreditsstinger,en,6.909942
The Curious Case of Benjamin Button,English,Warner Bros.,United States of America,Drama,hospital,en,60.269279000000004
X-Men: First Class,English,Twentieth Century Fox Film Corporation,United States of America,Action,superhero,en,3.195174
The Hunger Games: Mockingjay - Part 2,English,Lionsgate,United States of America,Action,dystopia,en,127.28442700000001
The Sorcerer's Apprentice,English,Walt Disney Pictures,United States of America,Drama,aftercreditsstinger,en,35.580815
Poseidon,English,Warner Bros.,United States of America,Drama,daughter,en,21.133748
Alice Through the Looking Glass,English,Walt Disney Pictures,United States of America,Fantasy,based on novel,en,56.268916000000004
Shrek the Third,Français,DreamWorks SKG,United States of America,Comedy,duringcreditsstinger,en,42.986467
Warcraft,English,Universal Pictures,United States of America,Action,magic,en,63.148529
Terminator Genisys,English,Paramount Pictures,United States of America,Thriller,duringcreditsstinger,en,202.04263500000002
The Chronicles of Narnia: The Voyage of the Dawn Treader,English,Dune Entertainment,United States of America,Adventure,based on novel,en,49.661984000000004
Pearl Harbor,English,Touchstone Pictures,United States of America,Romance,love,en,34.20669
Transformers,English,Paramount Pictures,United States of America,Action,duringcreditsstinger,en,25.468493
Alexander,English,Warner Bros.,United States of America,Drama,homosexuality,en,39.019228999999996
Harry Potter and the Order of the Phoenix,English,Warner Bros.,United States of America,Adventure,dying and death,en,78.14439499999999
Harry Potter and the Goblet of Fire,English,Warner Bros.,United States of America,Adventure,teenager,en,101.250416
Hancock,English,Columbia Pictures,United States of America,Action,duringcreditsstinger,en,56.758410999999995
I Am Legend,English,Warner Bros.,United States of America,Drama,dystopia,en,70.867401
Charlie and the Chocolate Factory,English,Warner Bros.,United States of America,Comedy,based on novel,en,53.905592000000006
Ratatouille,English,Walt Disney Pictures,United States of America,Comedy,family,en,65.677399
Batman Begins,English,Warner Bros.,United States of America,Drama,superhero,en,115.040024
Madagascar: Escape 2 Africa,English,DreamWorks Animation,United States of America,Family,duringcreditsstinger,en,44.141021
Night at the Museum: Battle of the Smithsonian,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,duringcreditsstinger,en,81.781591
X-Men Origins: Wolverine,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,duringcreditsstinger,en,5.954333999999999
The Matrix Revolutions,English,Warner Bros.,United States of America,Thriller,woman director,en,73.313918
Frozen,English,Walt Disney Pictures,United States of America,Adventure,woman director,en,165.12536599999999
The Matrix Reloaded,English,Warner Bros.,United States of America,Thriller,woman director,en,70.78591
Thor: The Dark World,English,Marvel Studios,United States of America,Action,duringcreditsstinger,en,99.499595
Mad Max: Fury Road,English,Warner Bros.,United States of America,Thriller,dystopia,en,434.27856399999996
Angels & Demons,English,Columbia Pictures,United States of America,Thriller,based on novel,en,67.447636
Thor,English,Marvel Studios,United States of America,Action,aftercreditsstinger,en,86.493424
Bolt,English,Walt Disney Animation Studios,United States of America,Comedy,duringcreditsstinger,en,41.845878000000006
